,Area,Perimeter,MajorAxisLength,MinorAxisLength,ConvexArea,EquivDiameter,roundness,ShapeFactor1,
[,28395,610.291,208.1781167,173.888747,28715,190.1410973,0.958027126,0.007331506,]
[,28734,638.018,200.5247957,182.7344194,29172,191.2727505,0.887033637,0.006978659,]
[,29380,624.11,212.8261299,175.9311426,29690,193.4109041,0.947849473,0.007243912,]
[,30008,645.884,210.557999,182.5165157,30724,195.4670618,0.903936374,0.007016729,]
[,30140,620.134,201.8478822,190.2792788,30417,195.896503,0.984877069,0.00669701,]
[,30279,634.927,212.5605564,181.5101816,30600,196.3477022,0.943851783,0.007020065,]
[,30477,670.033,211.0501553,184.0390501,30970,196.9886332,0.853079869,0.006924899,]
[,30519,629.727,212.9967551,182.7372038,30847,197.1243203,0.967109244,0.006979152,]
[,30685,635.681,213.5341452,183.1571463,31044,197.659696,0.954239808,0.00695891,]
[,30834,631.934,217.2278128,180.8974686,31120,198.1390121,0.97027823,0.007045074,]
[,30917,640.765,213.5600894,184.4398709,31280,198.4055115,0.94625818,0.006907529,]
[,31091,638.558,210.4862549,188.3268476,31458,198.9630385,0.958172836,0.006770006,]
[,31107,640.594,214.6485485,184.9692526,31423,199.0142269,0.952581757,0.006900329,]
[,31158,642.626,216.4848362,183.6443122,31492,199.1773023,0.948119004,0.00694797,]
[,31158,641.105,212.0669751,187.1929601,31474,199.1773023,0.952623101,0.006806181,]
[,31178,636.888,212.9759252,186.5620882,31520,199.2412169,0.965899596,0.006830968,]
[,31202,644.454,215.6406947,184.4716842,31573,199.3178875,0.944079243,0.006911118,]
[,31203,639.782,215.067737,184.8748759,31558,199.3210815,0.957948542,0.006892534,]
[,31272,638.666,212.4503189,187.535939,31593,199.5413417,0.963425036,0.006793627,]
[,31335,635.011,216.7900923,184.1634403,31599,199.7422367,0.976510834,0.006918465,]
[,31374,636.401,219.865394,182.0088637,31604,199.8664991,0.973459862,0.007007885,]
[,31530,638.857,213.7856543,188.0664823,31791,200.3627781,0.970792739,0.006780389,]
[,31573,674.103,217.3070261,185.4482507,32197,200.499357,0.873118507,0.006882685,]
[,31637,656.711,229.7192546,175.510446,32045,200.702465,0.921842182,0.007261095,]
[,31675,657.431,236.7526321,171.2105592,32009,200.8229633,0.92092896,0.007474432,]
[,31682,646.721,210.0456816,192.2484159,32026,200.8451524,0.951893863,0.006629811,]
[,31703,656.305,215.7089067,187.2724497,32093,200.9117052,0.92490856,0.006804053,]
[,31748,641.826,219.7765183,184.1151053,32020,201.0542441,0.968482156,0.006922531,]
[,31768,650.954,220.9594949,183.2920681,32173,201.1175623,0.94210463,0.006955411,]
[,31811,642.092,223.9846829,180.9171228,32052,201.2536289,0.969600136,0.007041108,]
[,31821,649.681,213.7356452,189.9692019,32168,201.2852592,0.947378132,0.006716811,]
[,31823,662.532,222.8726889,181.8946963,32274,201.2915846,0.91103962,0.00700351,]
[,31837,656.404,224.9125542,180.4394219,32238,201.3358572,0.928537748,0.007064502,]
[,31915,640.718,216.3203615,188.0653069,32184,201.5823407,0.976946683,0.006778015,]
[,31972,639.974,213.6874805,190.6449473,32246,201.7622728,0.980968377,0.006683582,]
[,31992,640.338,212.8873637,191.4872537,32258,201.8253689,0.980466376,0.006654394,]
[,31994,654.535,212.1713961,192.4225318,32391,201.8316774,0.938453277,0.0066316,]
[,32015,653.676,212.9299893,191.8101346,32375,201.897905,0.941538949,0.006650945,]
[,32026,654.237,230.9790674,176.9318083,32349,201.9325869,0.940247873,0.007212236,]
[,32038,645.085,224.4823211,181.9408668,32308,201.970415,0.967478615,0.007006752,]
[,32044,652.651,216.1471468,188.9705403,32395,201.9893264,0.945354229,0.006745324,]
[,32057,642.082,215.9182853,189.3033869,32301,202.030295,0.977128658,0.006735449,]
[,32066,669.313,236.436655,173.2308993,32481,202.058653,0.899489569,0.007373438,]
[,32109,663.582,224.4723523,182.3644962,32567,202.1940863,0.9163206,0.006990948,]
[,32114,648.566,222.6575074,183.8290361,32393,202.2098285,0.9593916,0.006933347,]
[,32167,654.893,217.960517,188.2047159,32521,202.3766203,0.942496457,0.006775904,]
[,32213,658.216,221.4811143,185.2954324,32585,202.5212716,0.934338332,0.00687552,]
[,32218,653.595,222.7560714,184.4046839,32566,202.5369884,0.947743902,0.006914025,]
[,32233,665.493,221.2336837,185.5923729,32710,202.5841313,0.91458402,0.006863577,]
[,32251,644.051,220.9809628,186.0277835,32514,202.6406883,0.977040422,0.00685191,]
[,32258,654.808,220.8040301,186.2777558,32612,202.6626784,0.945408164,0.006844939,]
[,32262,652.419,222.6986563,184.5129929,32563,202.6752432,0.952462642,0.006902816,]
[,32279,646.556,218.1816038,188.5531418,32623,202.7286345,0.970325944,0.006759243,]
[,32323,649.59,217.3714574,189.591319,32615,202.8667587,0.962593368,0.006724978,]
[,32338,653.602,221.4113413,186.136273,32672,202.9138251,0.951253518,0.006846785,]
[,32355,657.166,221.279621,186.3604099,32720,202.9671537,0.941458316,0.006839117,]
[,32368,675.385,221.6580649,186.1762293,32806,203.0079249,0.891708502,0.006848062,]
[,32376,643.009,219.1300137,188.3004274,32608,203.0330109,0.984008731,0.006768286,]
